id,name,categoryId,syncId,tenant_id,category_name
a6c33b6b-06d2-4093-b664-f12d75dbd2af,Ciudad Division de Honor,5bac6d7d-2999-48e3-90e9-b84f788ed31f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Equipos
718cf979-7f59-462b-a373-c09d9117a650,Conmocion,1fdd0100-6c2f-48c4-8f92-a685fb5af643,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Lesion
cf3b44c5-f184-450a-b85f-0af7c2ff2022,Curso,e66e443b-e77c-4f10-9fba-cfd31c68cd2f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,UdeAndes
47867979-f60a-4692-8c69-709463aeceec,Defensa,5bac6d7d-2999-48e3-90e9-b84f788ed31f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Equipos
2dae24e2-4596-418e-90c2-4cfd2f219d9d,DS,5bac6d7d-2999-48e3-90e9-b84f788ed31f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Equipos
0b6370c0-be1c-46ea-a47b-504879f8c693,Dynamo,f021a645-f179-49bd-9181-30a433c19672,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Test
d2ce0e31-45ca-43d8-a820-f891d9cf7ccd,Female team,2615dbc1-502d-4a48-9522-b8a3d5e3fe5a,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Team
025f9da4-4309-45b1-892e-b2bb64e306a3,Femenil Mayor,58734421-a5ed-420c-a9d5-26c5b0eda5d4,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Categorias
82c48f9a-df67-4d01-970a-9f3719ec5096,Fullback,abfd3e98-0024-491a-95e9-cd8d91a9d0e8,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Posicion
2bdbffd6-1506-400d-a18c-ab16d836b7dd,Futbol,82f698f2-7a4b-41bb-958b-5f01defafd28,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Deporte
9c6abe5e-0396-490a-9cbb-a00fb86fd6b3,General,0db9ae1a-2464-463a-856c-f5510fe270cf,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Uncategorised
