profileId,testId,testDateUtc,testTypeId,testPositionId,notes,innerLeftAvgForce,innerLeftImpulse,innerLeftMaxForce,innerLeftRepetitions,innerRightAvgForce,innerRightImpulse,innerRightMaxForce,innerRightRepetitions,outerLeftAvgForce,outerLeftImpulse,outerLeftMaxForce,outerLeftRepetitions,outerRightAvgForce,outerRightImpulse,outerRightMaxForce,outerRightRepetitions,device,modifiedDateUtc,testTypeName,testPositionName,tenant_id
b44b37e9-75a6-47e9-a76e-03ae84456e2c,37ecdc49-28e1-4119-ba72-cd83629f425a,2023-07-05 11:13:55.012000+00:00,fa9eef53-f8a3-4257-9d59-6533443513be,0193ca1d-89fb-480e-b2bc-b5e5d8cb52dd,,285.9375,4089.1500000000005,324.75,4,302.71875,4494.360000000001,343.0,4,303.4583333333333,3562.664999999999,308.25,3,285.9583333333333,3191.2200000000003,292.5,3,ForceFrame-1818,2024-01-21 00:01:59.089721400+00:00,Hip AD/AB,Hip AD/AB - 45,f1185650-fb79-44a0-8b4b-b2bf82d28c83
b69cff78-8193-4786-92c5-78effb8663e5,51a278bd-137b-4777-bd9e-1d6fa46b8490,2023-08-01 11:52:42.947000+00:00,fa9eef53-f8a3-4257-9d59-6533443513be,0193ca1d-89fb-480e-b2bc-b5e5d8cb52dd,,234.29166666666663,2419.7249999999995,242.875,3,238.33333333333331,2499.3950000000004,246.25,3,153.625,2580.8700000000003,189.5,3,155.41666666666666,2647.3949999999986,191.75,3,ForceFrame-1818,2024-01-21 00:02:30.121097300+00:00,Hip AD/AB,Hip AD/AB - 45,f1185650-fb79-44a0-8b4b-b2bf82d28c83
b69cff78-8193-4786-92c5-78effb8663e5,c8155bd5-1095-4e9e-ad66-cd8acaecfcb1,2023-11-14 12:34:07.912000+00:00,fa9eef53-f8a3-4257-9d59-6533443513be,0193ca1d-89fb-480e-b2bc-b5e5d8cb52dd,,260.25,3694.2799999999993,264.5,3,262.91666666666663,3787.5149999999994,265.75,3,206.58333333333331,3002.5449999999983,212.75,3,213.5,3083.2299999999987,214.25,3,ForceFrame-1818,2024-01-21 00:02:30.122099200+00:00,Hip AD/AB,Hip AD/AB - 45,f1185650-fb79-44a0-8b4b-b2bf82d28c83
b6c4a0bd-b75b-4eff-81ec-d771377f2c5c,aef1c5a6-abee-4cdb-8246-a5c8aea4c239,2023-07-25 12:18:50.229000+00:00,fa9eef53-f8a3-4257-9d59-6533443513be,0193ca1d-89fb-480e-b2bc-b5e5d8cb52dd,,249.29166666666663,2645.3949999999995,254.75,3,259.625,2715.879999999999,261.875,3,257.9583333333333,2569.2500000000005,287.5,3,266.4583333333333,2694.1850000000004,287.0,3,ForceFrame-1818,2024-01-21 00:02:30.862993100+00:00,Hip AD/AB,Hip AD/AB - 45,f1185650-fb79-44a0-8b4b-b2bf82d28c83
b6c4a0bd-b75b-4eff-81ec-d771377f2c5c,f43265f0-28f2-43e4-a596-5ebd63d1c1e1,2023-11-14 13:57:17.972000+00:00,fa9eef53-f8a3-4257-9d59-6533443513be,0193ca1d-89fb-480e-b2bc-b5e5d8cb52dd,,266.41666666666663,3978.2999999999993,285.75,3,274.41666666666663,4096.685,297.75,3,274.66666666666663,3646.1199999999976,310.5,3,282.25,3856.840000000001,312.25,3,ForceFrame-1818,2024-01-21 00:02:30.867968100+00:00,Hip AD/AB,Hip AD/AB - 45,f1185650-fb79-44a0-8b4b-b2bf82d28c83
b7724d5f-37b0-4a24-93e9-bf90f757b171,b49f30af-8631-402e-9c3c-2d630207372f,2023-08-07 15:21:11.885000+00:00,fa9eef53-f8a3-4257-9d59-6533443513be,0193ca1d-89fb-480e-b2bc-b5e5d8cb52dd,,456.20833333333337,5998.950000000003,482.75,3,459.5833333333333,6028.734999999999,483.0,3,441.91666666666663,5849.674999999997,462.5,3,506.04166666666663,6696.039999999999,546.5,3,ForceFrame-1818,2024-01-21 00:02:37.266837300+00:00,Hip AD/AB,Hip AD/AB - 45,f1185650-fb79-44a0-8b4b-b2bf82d28c83
b79b8119-8b55-4b9f-8c3d-327c023f2886,99854c48-e2c4-43ff-8130-e6e3119b925a,2023-08-07 14:29:31.901000+00:00,fa9eef53-f8a3-4257-9d59-6533443513be,0193ca1d-89fb-480e-b2bc-b5e5d8cb52dd,,418.58333333333337,4268.305,428.5,3,417.875,4174.114999999999,425.625,3,350.625,3680.5549999999994,366.5,3,310.04166666666663,3268.13,312.625,3,ForceFrame-1818,2024-01-21 00:02:39.215055800+00:00,Hip AD/AB,Hip AD/AB - 45,f1185650-fb79-44a0-8b4b-b2bf82d28c83
b7a919b5-f39b-4568-b21a-966baa0b3b3a,b6b6a441-87d4-4719-a72a-446e62ca1744,2023-07-12 11:38:58.084000+00:00,fa9eef53-f8a3-4257-9d59-6533443513be,0193ca1d-89fb-480e-b2bc-b5e5d8cb52dd,,358.9166666666667,5027.059999999999,393.75,3,345.9166666666667,4918.09,387.75,3,402.25,4630.290000000002,420.5,3,387.5,4236.33,422.75,3,ForceFrame-1818,2024-01-21 00:02:39.398780+00:00,Hip AD/AB,Hip AD/AB - 45,f1185650-fb79-44a0-8b4b-b2bf82d28c83
b8abc813-69c1-42ed-a568-c8cad80c09eb,9399896a-b06d-4e40-852f-9503e33ad521,2023-11-13 13:30:47.579000+00:00,fa9eef53-f8a3-4257-9d59-6533443513be,0193ca1d-89fb-480e-b2bc-b5e5d8cb52dd,,395.5,4089.124999999999,435.0,3,422.91666666666663,4400.235000000002,470.25,3,367.0,4003.33,392.25,3,400.41666666666663,4533.489999999998,419.75,3,ForceFrame-1818,2024-01-21 00:02:51.746669+00:00,Hip AD/AB,Hip AD/AB - 45,f1185650-fb79-44a0-8b4b-b2bf82d28c83
b8abc813-69c1-42ed-a568-c8cad80c09eb,bb8c0660-5717-44ad-b2dd-1e4274916604,2023-08-01 14:10:43.281000+00:00,fa9eef53-f8a3-4257-9d59-6533443513be,0193ca1d-89fb-480e-b2bc-b5e5d8cb52dd,,398.7083333333333,4348.54,448.25,3,418.04166666666663,4658.040000000001,452.75,3,322.25,3635.130000000001,333.25,3,352.2083333333333,4101.27,354.125,3,ForceFrame-1818,2024-01-21 00:02:51.748701400+00:00,Hip AD/AB,Hip AD/AB - 45,f1185650-fb79-44a0-8b4b-b2bf82d28c83
