profileId,testId,modifiedDateUtc,testDateUtc,testTypeId,testTypeName,notes,device,leftAvgForce,leftImpulse,leftMaxForce,leftTorque,leftCalibration,leftRepetitions,rightAvgForce,rightImpulse,rightMaxForce,rightTorque,rightCalibration,rightRepetitions,tenant_id
56b878a5-6bc4-4041-9dbb-645524c269b5,0bd64ab1-3f0b-4f26-bd29-e1b6b7fb8922,2023-02-09 14:22:20.825000+00:00,2023-02-09 14:21:46.124000+00:00,596a6004-553f-4afa-aef0-1474903b462e,Nordic,,NordBord-1756,314.6666666666667,1911.255,373.25,142.768125,0.0,3,305.41666666666663,2366.239999999999,343.25,131.293125,0.0,3,f1185650-fb79-44a0-8b4b-b2bf82d28c83
4e113fb3-d14e-421f-b9c4-55ba12036f06,724ee1af-976b-4f10-b404-255f8816f4ba,2023-02-09 14:24:23.292000+00:00,2023-02-09 14:23:38.040000+00:00,596a6004-553f-4afa-aef0-1474903b462e,Nordic,,NordBord-1756,227.49999999999997,1763.01,262.5,102.76875,0.0,3,336.0,3010.7800000000007,369.75,144.757125,0.0,3,f1185650-fb79-44a0-8b4b-b2bf82d28c83
f4501a31-c3a3-4f29-aa61-98175b8a1173,7aed79ac-364f-4e44-9f72-c64d296cde72,2023-02-09 14:25:24.176000+00:00,2023-02-09 14:25:06.767000+00:00,596a6004-553f-4afa-aef0-1474903b462e,Nordic,,NordBord-1756,192.16666666666666,1313.5700000000004,223.75,93.639375,0.0,3,277.0833333333333,2297.120000000001,311.25,130.258125,0.0,3,f1185650-fb79-44a0-8b4b-b2bf82d28c83
eeeb5f04-40a7-4c00-bd47-a7c4f8f42847,3efb38b2-750f-43a0-a240-aa17f86ddb31,2023-02-09 14:27:28.223000+00:00,2023-02-09 14:26:48.830000+00:00,596a6004-553f-4afa-aef0-1474903b462e,Nordic,,NordBord-1756,433.25,6314.570000000002,505.5,211.55175,0.0,2,487.125,7141.640000000003,564.75,236.347875,0.0,2,f1185650-fb79-44a0-8b4b-b2bf82d28c83
4dc68646-6f8c-427b-b6c1-315d98013554,3af09fad-d135-4030-afb3-08e2c759ef08,2023-02-09 14:28:28.631000+00:00,2023-02-09 14:27:35.078000+00:00,596a6004-553f-4afa-aef0-1474903b462e,Nordic,,NordBord-1756,211.5,281.50500000000005,211.5,98.03025000000001,0.0,1,243.75,487.96,243.75,112.978125,0.0,1,f1185650-fb79-44a0-8b4b-b2bf82d28c83
94153a15-d5b0-49ed-bfdf-877f6337e3e3,bc74a709-4efe-4bd5-ad1f-a9e6a3a02690,2023-02-09 14:29:29.822000+00:00,2023-02-09 14:28:58.451000+00:00,596a6004-553f-4afa-aef0-1474903b462e,Nordic,,NordBord-1756,291.75,3009.525,330.75,132.465375,0.0,3,249.66666666666666,2562.8499999999995,263.25,105.43162500000001,0.0,3,f1185650-fb79-44a0-8b4b-b2bf82d28c83
79fe0836-fc49-4f7a-b5d3-a3d26b5cfe16,ed8740ae-fcd9-49d5-a01e-f10e0ac1bcbe,2023-02-09 14:30:30.250000+00:00,2023-02-09 14:29:43.874000+00:00,596a6004-553f-4afa-aef0-1474903b462e,Nordic,,NordBord-1756,254.08333333333331,1879.1150000000002,283.5,105.88725000000001,0.0,3,265.0833333333333,1983.8849999999998,301.5,112.61025000000002,0.0,3,f1185650-fb79-44a0-8b4b-b2bf82d28c83
cd424555-d73d-4e3b-be63-a66c408dfe89,e1110fe0-b1f4-4113-aa42-7182e023e60e,2023-02-09 14:31:30.905000+00:00,2023-02-09 14:30:55.864000+00:00,596a6004-553f-4afa-aef0-1474903b462e,Nordic,,NordBord-1756,258.125,1864.9249999999997,268.0,119.394,0.0,2,299.875,2826.7550000000006,305.75,136.211625,0.0,2,f1185650-fb79-44a0-8b4b-b2bf82d28c83
bddb11b6-4e71-4fde-98be-95d252e6538a,a2af3651-18f3-4134-95ab-55530f79ec2b,2023-02-09 14:32:33.525000+00:00,2023-02-09 14:32:06.275000+00:00,596a6004-553f-4afa-aef0-1474903b462e,Nordic,,NordBord-1756,276.0,653.8749999999995,276.0,120.474,0.0,1,353.25,977.6199999999997,353.25,154.193625,0.0,1,f1185650-fb79-44a0-8b4b-b2bf82d28c83
8a6052be-7dd9-49b1-bde5-b223f6ad3735,9f0c245c-1dc2-4cc3-a365-499096831225,2023-02-09 14:33:34.191000+00:00,2023-02-09 14:33:25.477000+00:00,596a6004-553f-4afa-aef0-1474903b462e,Nordic,,NordBord-1756,343.25,1804.0099999999995,365.0,139.6125,0.0,2,354.5,2315.3499999999995,363.75,139.134375,0.0,2,f1185650-fb79-44a0-8b4b-b2bf82d28c83
